epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,722.319,1.80619,1.10781,0.85092,0.65096,0.58036,0.59171,0.2857,1.44669,4.24463,0.60474,0.0005941,0.0005941,0.0005941
43,739.295,1.76306,1.07047,0.84855,0.67467,0.61012,0.64091,0.30436,1.3883,4.79843,0.601,0.0005842,0.0005842,0.0005842
44,756.819,1.68943,1.01752,0.83515,0.63208,0.61012,0.61899,0.29953,1.34269,5.39579,0.59983,0.0005743,0.0005743,0.0005743
45,776.057,1.7168,1.01468,0.84036,0.66404,0.62356,0.64492,0.33877,1.30761,3.85658,0.59355,0.0005644,0.0005644,0.0005644
46,794.29,1.70692,1.02778,0.84693,0.65996,0.64881,0.64804,0.32723,1.28587,4.9456,0.59528,0.0005545,0.0005545,0.0005545
47,814.076,1.75644,1.05157,0.84443,0.64315,0.68452,0.65902,0.34147,1.30398,5.49384,0.59944,0.0005446,0.0005446,0.0005446
48,834.042,1.72134,1.04502,0.84985,0.64401,0.66071,0.66185,0.35377,1.27404,3.31497,0.59416,0.0005347,0.0005347,0.0005347
49,852.136,1.72807,1.04162,0.84214,0.6868,0.6131,0.62232,0.32328,1.32995,3.7351,0.5952,0.0005248,0.0005248,0.0005248
50,869.025,1.74824,1.02971,0.83631,0.61866,0.71943,0.66842,0.35054,1.23542,4.48217,0.58909,0.0005149,0.0005149,0.0005149
51,885.933,1.70003,1.00282,0.83799,0.63784,0.60714,0.60878,0.29982,1.31266,4.64813,0.59552,0.000505,0.000505,0.000505
52,902.826,1.69366,0.99073,0.84234,0.66434,0.65774,0.66609,0.34352,1.25345,3.60936,0.5918,0.0004951,0.0004951,0.0004951
53,919.699,1.72058,1.00147,0.83642,0.67722,0.61905,0.64028,0.33118,1.28648,5.36291,0.59114,0.0004852,0.0004852,0.0004852
54,936.588,1.69003,1.00651,0.83993,0.64917,0.66085,0.64281,0.32481,1.30001,4.99965,0.59318,0.0004753,0.0004753,0.0004753
55,953.615,1.71896,1.0238,0.83917,0.60401,0.68155,0.63817,0.33937,1.29552,3.76448,0.59294,0.0004654,0.0004654,0.0004654
56,970.514,1.68085,0.99322,0.84233,0.6831,0.60417,0.63842,0.3435,1.23345,4.52022,0.59119,0.0004555,0.0004555,0.0004555
57,989.524,1.68097,1.01296,0.83761,0.59604,0.6994,0.61777,0.30994,1.30816,4.42497,0.59435,0.0004456,0.0004456,0.0004456
58,1009.49,1.61466,1.01084,0.83113,0.69909,0.65179,0.65429,0.33769,1.22866,3.99279,0.58893,0.0004357,0.0004357,0.0004357
59,1029.43,1.63888,1.04632,0.83739,0.68277,0.6131,0.65872,0.34696,1.27329,3.37343,0.59096,0.0004258,0.0004258,0.0004258
60,1049.28,1.61585,0.97231,0.83325,0.67197,0.71131,0.69212,0.36244,1.21848,5.06511,0.59091,0.0004159,0.0004159,0.0004159
61,1067.69,1.65217,0.9947,0.82653,0.66308,0.63095,0.6483,0.34286,1.2503,3.65835,0.58479,0.000406,0.000406,0.000406
62,1087.78,1.6601,1.01721,0.83921,0.65466,0.6037,0.63456,0.33529,1.25656,3.0229,0.58715,0.0003961,0.0003961,0.0003961
63,1106.11,1.62468,0.9826,0.82426,0.70179,0.65138,0.67118,0.34654,1.222,3.29471,0.58465,0.0003862,0.0003862,0.0003862
64,1126.04,1.66995,0.94384,0.83587,0.64336,0.71726,0.67977,0.36359,1.2194,4.24597,0.58606,0.0003763,0.0003763,0.0003763
65,1146.01,1.57573,0.91788,0.83132,0.64125,0.69688,0.67217,0.34852,1.27257,4.02796,0.58918,0.0003664,0.0003664,0.0003664
66,1165.92,1.62132,0.99406,0.82702,0.68207,0.64286,0.66655,0.35199,1.21339,4.46889,0.58491,0.0003565,0.0003565,0.0003565
67,1185.75,1.58723,0.88557,0.83024,0.65766,0.63393,0.66049,0.35585,1.29499,3.99347,0.59414,0.0003466,0.0003466,0.0003466
68,1205.65,1.65492,0.93599,0.83492,0.63459,0.73214,0.6841,0.36971,1.27538,4.04425,0.59448,0.0003367,0.0003367,0.0003367
69,1225.47,1.59453,0.89263,0.82597,0.66826,0.625,0.65622,0.33708,1.31051,4.0271,0.59433,0.0003268,0.0003268,0.0003268
70,1243.48,1.5787,0.87224,0.82863,0.68994,0.67857,0.68319,0.35592,1.21875,4.35239,0.58452,0.0003169,0.0003169,0.0003169
71,1261.7,1.60206,0.93403,0.82433,0.70754,0.66963,0.69492,0.37001,1.2363,4.08898,0.58388,0.000307,0.000307,0.000307
72,1280.96,1.61347,0.9434,0.82409,0.62996,0.67857,0.65632,0.36165,1.26228,4.42881,0.58872,0.0002971,0.0002971,0.0002971
73,1300.05,1.52376,0.86105,0.82139,0.62733,0.70536,0.66313,0.3688,1.22251,4.14317,0.58354,0.0002872,0.0002872,0.0002872
74,1320.1,1.58764,0.88473,0.82114,0.6374,0.68155,0.6639,0.35922,1.29885,3.90557,0.59321,0.0002773,0.0002773,0.0002773
75,1340.08,1.53302,0.87198,0.81992,0.68403,0.72321,0.7049,0.38304,1.27468,4.18215,0.59197,0.0002674,0.0002674,0.0002674
76,1360.14,1.56328,0.88144,0.82803,0.68239,0.697,0.68672,0.37291,1.28909,3.80492,0.59221,0.0002575,0.0002575,0.0002575
77,1380.04,1.55256,0.90413,0.82587,0.65956,0.65774,0.67706,0.35107,1.29162,4.80841,0.59032,0.0002476,0.0002476,0.0002476
78,1399.83,1.53586,0.87409,0.82459,0.68268,0.72619,0.70073,0.37604,1.22426,4.3876,0.58352,0.0002377,0.0002377,0.0002377
79,1419.78,1.51126,0.82843,0.81825,0.65616,0.6994,0.69342,0.37477,1.23721,3.96048,0.58382,0.0002278,0.0002278,0.0002278
80,1439.83,1.53037,0.88003,0.82824,0.67597,0.78571,0.7188,0.39385,1.17567,4.50539,0.58079,0.0002179,0.0002179,0.0002179
