epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,389.182,1.80116,1.08525,0.84685,0.66852,0.70536,0.68438,0.33983,1.31652,3.57918,0.59256,0.0005941,0.0005941,0.0005941
43,398.3,1.76528,1.05829,0.84861,0.65247,0.6875,0.66188,0.32762,1.37398,3.69741,0.5973,0.0005842,0.0005842,0.0005842
44,407.472,1.71156,0.99977,0.83638,0.69233,0.68982,0.67297,0.34331,1.27971,3.67453,0.59047,0.0005743,0.0005743,0.0005743
45,416.62,1.74728,0.99696,0.84002,0.6962,0.72024,0.70265,0.3581,1.29122,3.61769,0.58975,0.0005644,0.0005644,0.0005644
46,425.717,1.692,1.01002,0.84151,0.67216,0.66964,0.66322,0.32228,1.3652,3.72914,0.59505,0.0005545,0.0005545,0.0005545
47,434.828,1.75891,1.01638,0.84161,0.72223,0.67857,0.68204,0.36222,1.27322,4.37729,0.58568,0.0005446,0.0005446,0.0005446
48,443.983,1.74939,1.03272,0.84801,0.69736,0.69643,0.682,0.34498,1.30841,3.16146,0.58986,0.0005347,0.0005347,0.0005347
49,453.11,1.7447,1.03559,0.84138,0.66719,0.64286,0.63494,0.32037,1.29902,3.76287,0.59076,0.0005248,0.0005248,0.0005248
50,462.239,1.76653,1.02222,0.8333,0.70076,0.71131,0.70323,0.34702,1.27531,3.90395,0.58709,0.0005149,0.0005149,0.0005149
51,471.325,1.73788,0.99805,0.83858,0.6745,0.70922,0.6843,0.33659,1.24824,4.48864,0.58468,0.000505,0.000505,0.000505
52,480.454,1.71642,0.98373,0.84012,0.69388,0.71726,0.69599,0.3508,1.30162,3.57884,0.58886,0.0004951,0.0004951,0.0004951
53,489.509,1.75191,0.99591,0.8377,0.70884,0.71726,0.6855,0.36175,1.22979,3.90431,0.58515,0.0004852,0.0004852,0.0004852
54,498.599,1.73026,0.97908,0.83976,0.68908,0.71726,0.68145,0.34316,1.28885,4.14046,0.5884,0.0004753,0.0004753,0.0004753
55,507.732,1.72928,0.9991,0.84006,0.72783,0.65774,0.66711,0.32618,1.36141,3.71552,0.59304,0.0004654,0.0004654,0.0004654
