epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,252.226,1.94404,1.18387,0.85637,0.63342,0.67262,0.62932,0.27971,1.44461,5.16912,0.59956,0.0005941,0.0005941,0.0005941
43,258.553,1.96819,1.18189,0.85755,0.60255,0.69048,0.61899,0.28739,1.39782,4.7582,0.59738,0.0005842,0.0005842,0.0005842
44,264.536,1.86437,1.12183,0.84658,0.63667,0.62798,0.625,0.29758,1.41405,3.82122,0.59625,0.0005743,0.0005743,0.0005743
45,270.508,1.92309,1.1253,0.85125,0.63634,0.68155,0.62837,0.28905,1.46079,4.63773,0.601,0.0005644,0.0005644,0.0005644
46,276.686,1.87506,1.13228,0.8507,0.65358,0.60417,0.601,0.28461,1.45416,3.86953,0.60194,0.0005545,0.0005545,0.0005545
47,282.778,1.93329,1.15046,0.85221,0.60685,0.69643,0.62017,0.29217,1.41985,5.98676,0.60284,0.0005446,0.0005446,0.0005446
48,288.914,1.91951,1.15417,0.85364,0.64642,0.65774,0.63512,0.30649,1.42016,4.27676,0.59855,0.0005347,0.0005347,0.0005347
49,294.914,1.89637,1.12806,0.8509,0.67353,0.6369,0.62536,0.29007,1.42377,3.90336,0.60138,0.0005248,0.0005248,0.0005248
50,300.912,1.95613,1.13465,0.84514,0.67233,0.62288,0.62675,0.29785,1.37053,3.48154,0.60168,0.0005149,0.0005149,0.0005149
51,306.974,1.8864,1.1074,0.84479,0.66193,0.6818,0.65813,0.31757,1.39854,5.40056,0.6003,0.000505,0.000505,0.000505
52,312.941,1.88473,1.10421,0.8524,0.67969,0.66312,0.63501,0.29894,1.42714,4.10038,0.60516,0.0004951,0.0004951,0.0004951
53,319.025,1.9299,1.12366,0.8471,0.69362,0.67379,0.66066,0.30331,1.43089,4.98787,0.60332,0.0004852,0.0004852,0.0004852
54,325.102,1.90175,1.1056,0.84926,0.64654,0.66962,0.63058,0.28884,1.41266,4.7282,0.60017,0.0004753,0.0004753,0.0004753
55,331.038,1.90735,1.10369,0.84909,0.6514,0.68452,0.63187,0.30143,1.39082,4.81776,0.59865,0.0004654,0.0004654,0.0004654
56,337.013,1.88277,1.10268,0.85507,0.63659,0.68155,0.62986,0.30239,1.36955,5.63913,0.59804,0.0004555,0.0004555,0.0004555
57,342.965,1.87555,1.11112,0.84578,0.68241,0.67857,0.66388,0.30356,1.39492,5.09765,0.59727,0.0004456,0.0004456,0.0004456
58,348.911,1.84895,1.09621,0.84412,0.6971,0.67125,0.6564,0.30869,1.39947,5.42456,0.59905,0.0004357,0.0004357,0.0004357
59,355.064,1.87125,1.13612,0.84806,0.68365,0.64881,0.65141,0.31563,1.37272,4.31786,0.59287,0.0004258,0.0004258,0.0004258
60,366.135,1.80772,1.07604,0.84075,0.71107,0.64286,0.65067,0.31872,1.35772,4.42231,0.59715,0.0004159,0.0004159,0.0004159
61,377.847,1.87005,1.10542,0.83753,0.6543,0.67033,0.63767,0.30205,1.40849,4.23066,0.59437,0.000406,0.000406,0.000406
62,389.742,1.90457,1.1563,0.85196,0.68417,0.64286,0.66121,0.31817,1.39685,3.52157,0.59388,0.0003961,0.0003961,0.0003961
63,401.737,1.86141,1.08745,0.83558,0.66454,0.67262,0.64858,0.31398,1.37918,3.93528,0.59502,0.0003862,0.0003862,0.0003862
64,413.909,1.87562,1.06257,0.84441,0.7487,0.66504,0.65698,0.32406,1.35799,4.6897,0.5958,0.0003763,0.0003763,0.0003763
65,425.801,1.80581,1.01951,0.84227,0.64043,0.71131,0.65769,0.31333,1.40499,4.51354,0.59519,0.0003664,0.0003664,0.0003664
66,437.437,1.8354,1.07094,0.8394,0.72567,0.66918,0.67149,0.31911,1.36079,5.65163,0.59192,0.0003565,0.0003565,0.0003565
67,449.608,1.81474,1.01087,0.84328,0.71084,0.65476,0.66254,0.32385,1.3627,4.66523,0.5944,0.0003466,0.0003466,0.0003466
68,461.523,1.88827,1.0647,0.85111,0.67473,0.69345,0.66551,0.32326,1.32743,5.02385,0.59656,0.0003367,0.0003367,0.0003367
69,473.484,1.79698,1.00803,0.83648,0.67488,0.68155,0.65267,0.30951,1.39696,5.19863,0.59543,0.0003268,0.0003268,0.0003268
70,485.17,1.797,0.99584,0.84154,0.69799,0.7016,0.68836,0.32924,1.3614,4.48328,0.59391,0.0003169,0.0003169,0.0003169
71,496.964,1.82037,1.04126,0.83487,0.71057,0.67262,0.66951,0.32946,1.33953,4.60129,0.59503,0.000307,0.000307,0.000307
72,509.166,1.82279,1.06827,0.83664,0.66365,0.71642,0.66842,0.32202,1.3791,3.77534,0.59633,0.0002971,0.0002971,0.0002971
73,521.001,1.77186,0.98771,0.83489,0.69385,0.6994,0.66589,0.32086,1.40125,5.5325,0.59661,0.0002872,0.0002872,0.0002872
74,532.939,1.81681,1.03029,0.83473,0.73156,0.66964,0.67259,0.31837,1.39233,4.196,0.59813,0.0002773,0.0002773,0.0002773
75,544.862,1.7507,0.99656,0.83118,0.69037,0.70833,0.67634,0.33118,1.39615,4.72366,0.59472,0.0002674,0.0002674,0.0002674
76,556.692,1.75946,0.9966,0.83472,0.68538,0.68726,0.66585,0.33219,1.35277,5.88396,0.59553,0.0002575,0.0002575,0.0002575
77,568.664,1.81463,1.04237,0.83934,0.69089,0.68155,0.67245,0.32931,1.36613,4.44336,0.59466,0.0002476,0.0002476,0.0002476
78,580.04,1.76215,0.99424,0.8365,0.6885,0.72917,0.67618,0.33351,1.33775,4.17474,0.59204,0.0002377,0.0002377,0.0002377
79,586.306,1.7269,0.94564,0.83151,0.68967,0.70238,0.68694,0.33301,1.35757,4.12323,0.59317,0.0002278,0.0002278,0.0002278
80,592.628,1.75744,1.0121,0.8404,0.6793,0.6875,0.67552,0.33256,1.35706,4.69464,0.59276,0.0002179,0.0002179,0.0002179
81,598.796,1.72995,1.02498,0.83786,0.71576,0.69643,0.69056,0.34803,1.33668,4.07396,0.58891,0.000208,0.000208,0.000208
82,606.71,1.729,0.96283,0.83366,0.72737,0.67262,0.67253,0.32817,1.34265,5.1136,0.58965,0.0001981,0.0001981,0.0001981
83,618.67,1.71068,0.93322,0.83328,0.70665,0.73214,0.69153,0.33906,1.33838,5.22056,0.59628,0.0001882,0.0001882,0.0001882
84,625.765,1.75763,0.961,0.83724,0.68442,0.7423,0.68808,0.34346,1.33572,4.86993,0.59258,0.0001783,0.0001783,0.0001783
85,631.907,1.74056,0.95993,0.8348,0.68438,0.73571,0.69793,0.34309,1.3264,4.29908,0.58966,0.0001684,0.0001684,0.0001684
86,638.268,1.78387,0.9465,0.83078,0.71818,0.70833,0.70093,0.34785,1.33803,4.39399,0.58916,0.0001585,0.0001585,0.0001585
87,644.551,1.76742,0.98078,0.82966,0.67608,0.74542,0.69574,0.3426,1.32811,4.35302,0.59249,0.0001486,0.0001486,0.0001486
88,650.897,1.71967,0.92219,0.83376,0.69523,0.74001,0.69562,0.35312,1.33137,4.91932,0.58937,0.0001387,0.0001387,0.0001387
89,657.367,1.73621,0.96631,0.82751,0.72209,0.71145,0.70146,0.34893,1.33117,3.9908,0.59056,0.0001288,0.0001288,0.0001288
