epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5714,2.41073,2.70011,0.92928,0.53206,0.59821,0.46588,0.16837,1.74276,10.7243,0.65356,0.0672157,0.000331155,0.000331155
2,25.4204,2.35872,1.5661,0.89701,0.43949,0.53571,0.38025,0.13351,1.77915,8.08614,0.64409,0.0342091,0.00065791,0.00065791
3,37.1345,2.38447,1.58554,0.91391,0.53751,0.50298,0.42488,0.16609,1.71358,9.42697,0.63457,0.00119593,0.000978064,0.000978064
4,48.8704,2.35319,1.56892,0.91395,0.48944,0.59226,0.48323,0.20142,1.57676,5.99786,0.63058,0.0009703,0.0009703,0.0009703
5,60.5337,2.30653,1.62219,0.89637,0.42007,0.43116,0.30647,0.10443,1.74904,7.57886,0.6451,0.0009604,0.0009604,0.0009604
6,72.1718,2.37252,1.6008,0.8996,0.45084,0.47619,0.40008,0.1562,1.69646,9.98335,0.64039,0.0009505,0.0009505,0.0009505
7,83.8503,2.30831,1.59187,0.90039,0.56102,0.54464,0.48484,0.21655,1.56196,5.23536,0.6213,0.0009406,0.0009406,0.0009406
8,95.5865,2.16049,1.4528,0.90148,0.53196,0.51786,0.46842,0.19043,1.54215,4.75667,0.61835,0.0009307,0.0009307,0.0009307
9,107.25,2.17227,1.49199,0.88946,0.43643,0.5119,0.37631,0.16828,1.57745,7.6191,0.62758,0.0009208,0.0009208,0.0009208
10,118.931,2.19819,1.46085,0.88931,0.49255,0.47321,0.3922,0.15086,1.74661,4.08441,0.63547,0.0009109,0.0009109,0.0009109
11,130.694,2.19475,1.43236,0.88485,0.44722,0.47321,0.38111,0.13137,1.88109,2.99524,0.65332,0.000901,0.000901,0.000901
12,142.441,2.20804,1.4851,0.88853,0.50888,0.48512,0.45084,0.16756,1.66641,4.02158,0.62181,0.0008911,0.0008911,0.0008911
13,154.391,2.07942,1.36766,0.87529,0.50085,0.55655,0.47304,0.20337,1.55318,3.79462,0.61959,0.0008812,0.0008812,0.0008812
14,166.335,2.06652,1.32217,0.87562,0.5118,0.56548,0.51217,0.22745,1.54088,5.46717,0.62189,0.0008713,0.0008713,0.0008713
15,178.033,2.11261,1.36614,0.8807,0.53211,0.49702,0.42434,0.18095,1.52896,4.40633,0.61837,0.0008614,0.0008614,0.0008614
16,189.692,2.05312,1.34571,0.87043,0.58961,0.58333,0.56408,0.25854,1.41689,5.29319,0.61043,0.0008515,0.0008515,0.0008515
17,201.409,2.07528,1.39115,0.87269,0.5437,0.52381,0.4675,0.18282,1.67662,4.61193,0.631,0.0008416,0.0008416,0.0008416
18,213.039,2.1127,1.39779,0.87717,0.58897,0.59524,0.54271,0.25,1.48678,4.24734,0.6145,0.0008317,0.0008317,0.0008317
19,224.688,2.05522,1.31002,0.87618,0.62124,0.53869,0.57026,0.27151,1.51361,3.53175,0.6143,0.0008218,0.0008218,0.0008218
20,236.385,2.03366,1.36269,0.87363,0.58697,0.59215,0.56405,0.27353,1.45846,3.3028,0.60914,0.0008119,0.0008119,0.0008119
21,248.04,2.01207,1.33285,0.8701,0.57532,0.54762,0.52763,0.25819,1.4724,6.73798,0.61358,0.000802,0.000802,0.000802
22,259.707,1.96933,1.22852,0.86981,0.58551,0.63095,0.5388,0.24568,1.47391,4.81535,0.61618,0.0007921,0.0007921,0.0007921
23,271.384,1.95166,1.29469,0.86798,0.57963,0.53274,0.52881,0.24963,1.45848,3.35872,0.61172,0.0007822,0.0007822,0.0007822
24,283.107,1.96965,1.29111,0.87259,0.55214,0.61641,0.53628,0.24731,1.44311,4.03914,0.60793,0.0007723,0.0007723,0.0007723
25,294.757,1.99711,1.26684,0.86501,0.59736,0.5625,0.52651,0.23446,1.49695,6.58523,0.60779,0.0007624,0.0007624,0.0007624
26,306.405,1.98235,1.26307,0.86505,0.53399,0.49791,0.47924,0.22772,1.46307,6.37238,0.60618,0.0007525,0.0007525,0.0007525
27,318.117,1.94703,1.26722,0.86415,0.58038,0.56548,0.53652,0.25713,1.4696,3.20928,0.61191,0.0007426,0.0007426,0.0007426
28,329.925,1.92192,1.24665,0.86076,0.63758,0.55655,0.55205,0.26499,1.4302,6.46808,0.61012,0.0007327,0.0007327,0.0007327
29,341.806,1.93259,1.22154,0.858,0.64743,0.57143,0.5869,0.27754,1.4213,3.89374,0.61074,0.0007228,0.0007228,0.0007228
30,353.54,1.91047,1.20234,0.85358,0.62461,0.62397,0.57817,0.28383,1.37086,5.90764,0.59931,0.0007129,0.0007129,0.0007129
31,365.21,1.91804,1.22019,0.85693,0.65355,0.55952,0.58227,0.29516,1.36858,3.88799,0.60591,0.000703,0.000703,0.000703
32,376.925,1.92009,1.16142,0.85698,0.64756,0.5744,0.5916,0.27588,1.40637,4.77103,0.60662,0.0006931,0.0006931,0.0006931
33,388.652,1.93939,1.22432,0.85988,0.60535,0.5744,0.56157,0.27957,1.38053,4.81083,0.60218,0.0006832,0.0006832,0.0006832
34,401.693,1.85213,1.18977,0.85691,0.60784,0.50281,0.56182,0.292,1.39188,4.11899,0.60216,0.0006733,0.0006733,0.0006733
35,417.879,1.87739,1.21119,0.85291,0.63852,0.58036,0.60057,0.28801,1.35529,5.81738,0.59684,0.0006634,0.0006634,0.0006634
36,434.257,1.90588,1.17151,0.85985,0.55609,0.57738,0.56385,0.27622,1.48797,3.4163,0.60535,0.0006535,0.0006535,0.0006535
37,451.359,1.81892,1.0981,0.85154,0.62301,0.60119,0.61583,0.29463,1.38021,3.67051,0.59795,0.0006436,0.0006436,0.0006436
38,467.466,1.88483,1.14142,0.85327,0.62384,0.6466,0.61302,0.30368,1.36601,6.60654,0.59745,0.0006337,0.0006337,0.0006337
39,481.763,1.82164,1.12989,0.84843,0.59398,0.63569,0.59788,0.288,1.39313,4.76874,0.6028,0.0006238,0.0006238,0.0006238
40,493.667,1.79337,1.11125,0.85326,0.66798,0.50893,0.54589,0.24803,1.47991,5.10317,0.60476,0.0006139,0.0006139,0.0006139
41,505.39,1.81235,1.15008,0.85218,0.62431,0.58361,0.57307,0.2872,1.3792,4.46357,0.60024,0.000604,0.000604,0.000604
42,517.15,1.83124,1.10845,0.85344,0.68708,0.5506,0.60142,0.30045,1.33671,4.55291,0.59407,0.0005941,0.0005941,0.0005941
43,528.949,1.80923,1.0999,0.85312,0.68927,0.55357,0.58938,0.28401,1.44088,4.25475,0.60354,0.0005842,0.0005842,0.0005842
44,540.651,1.76544,1.06101,0.84214,0.67192,0.58631,0.59151,0.29918,1.37462,5.18563,0.59659,0.0005743,0.0005743,0.0005743
45,552.301,1.76685,1.04328,0.84449,0.60801,0.59524,0.5771,0.29758,1.41271,3.59426,0.59687,0.0005644,0.0005644,0.0005644
46,564.064,1.75608,1.05754,0.84967,0.62457,0.55655,0.57678,0.28518,1.39982,4.29317,0.60021,0.0005545,0.0005545,0.0005545
47,575.814,1.79379,1.07661,0.84609,0.66006,0.58368,0.61806,0.31874,1.31586,4.91796,0.59309,0.0005446,0.0005446,0.0005446
48,587.634,1.76859,1.07391,0.85111,0.67698,0.5489,0.60177,0.30784,1.36389,3.81842,0.59499,0.0005347,0.0005347,0.0005347
49,599.414,1.74978,1.07412,0.8433,0.63967,0.60761,0.61902,0.3048,1.35197,3.90438,0.5967,0.0005248,0.0005248,0.0005248
50,611.26,1.83338,1.0772,0.84214,0.61903,0.62202,0.62589,0.32245,1.29973,4.9613,0.59225,0.0005149,0.0005149,0.0005149
51,623.034,1.77197,1.0456,0.84264,0.59636,0.65179,0.61491,0.30269,1.35993,5.95531,0.59373,0.000505,0.000505,0.000505
52,634.727,1.78258,1.04468,0.84857,0.60933,0.54167,0.55823,0.26458,1.39572,7.16491,0.59791,0.0004951,0.0004951,0.0004951
53,646.439,1.76922,1.0388,0.84224,0.62514,0.64286,0.6192,0.30906,1.36334,5.3201,0.59543,0.0004852,0.0004852,0.0004852
54,658.09,1.76805,1.02837,0.84405,0.60325,0.71429,0.64242,0.31546,1.35079,4.9854,0.5939,0.0004753,0.0004753,0.0004753
55,669.738,1.77317,1.05769,0.84345,0.61041,0.69015,0.62898,0.31276,1.32371,4.37508,0.59565,0.0004654,0.0004654,0.0004654
56,681.401,1.7604,1.04719,0.84734,0.6398,0.6756,0.62637,0.32298,1.28034,6.09299,0.58985,0.0004555,0.0004555,0.0004555
57,693.165,1.75457,1.03524,0.84466,0.60956,0.63988,0.61539,0.29702,1.37253,3.37656,0.59959,0.0004456,0.0004456,0.0004456
58,704.815,1.66137,1.01893,0.83525,0.67047,0.70833,0.67183,0.34212,1.25427,4.78794,0.59063,0.0004357,0.0004357,0.0004357
59,716.465,1.7068,1.06911,0.84063,0.67906,0.63601,0.64309,0.32566,1.31617,3.6514,0.59184,0.0004258,0.0004258,0.0004258
60,728.19,1.67877,1.04723,0.83317,0.61766,0.69048,0.65274,0.33352,1.3135,5.76153,0.59245,0.0004159,0.0004159,0.0004159
61,739.841,1.71397,1.03714,0.83218,0.63438,0.59821,0.6081,0.30321,1.32218,4.15929,0.59433,0.000406,0.000406,0.000406
62,751.537,1.73459,1.06477,0.8431,0.60958,0.60119,0.59124,0.29403,1.4236,3.88288,0.6007,0.0003961,0.0003961,0.0003961
63,763.268,1.69322,1.01423,0.83086,0.59428,0.6994,0.64681,0.34482,1.28137,3.79804,0.59349,0.0003862,0.0003862,0.0003862
64,774.949,1.71784,0.98408,0.83809,0.6664,0.70155,0.67434,0.3459,1.28355,4.59246,0.59281,0.0003763,0.0003763,0.0003763
65,786.638,1.63472,0.94163,0.83533,0.61098,0.6994,0.66398,0.33435,1.29718,4.10069,0.59194,0.0003664,0.0003664,0.0003664
66,798.303,1.67798,1.01825,0.83472,0.66522,0.71131,0.67655,0.36376,1.22494,4.48878,0.58623,0.0003565,0.0003565,0.0003565
67,810.096,1.66409,0.92814,0.83512,0.65978,0.6695,0.6791,0.35516,1.25267,4.15203,0.58925,0.0003466,0.0003466,0.0003466
68,821.786,1.73157,1.00207,0.84012,0.60711,0.65179,0.62081,0.31607,1.34907,5.24375,0.59136,0.0003367,0.0003367,0.0003367
69,833.48,1.65381,0.94725,0.8303,0.59418,0.66964,0.63842,0.32509,1.33973,4.34939,0.58806,0.0003268,0.0003268,0.0003268
70,845.189,1.63589,0.91335,0.83211,0.61627,0.68351,0.63299,0.30509,1.37566,5.08812,0.59066,0.0003169,0.0003169,0.0003169
71,856.906,1.68265,0.97761,0.82902,0.66219,0.64286,0.64746,0.31468,1.35935,4.56237,0.59132,0.000307,0.000307,0.000307
72,868.986,1.66902,0.99099,0.82792,0.61805,0.66071,0.6348,0.31288,1.32556,4.54192,0.59165,0.0002971,0.0002971,0.0002971
73,880.892,1.5907,0.92835,0.82695,0.67083,0.625,0.62688,0.3241,1.35638,4.77023,0.59164,0.0002872,0.0002872,0.0002872
74,892.67,1.64106,0.95325,0.82559,0.58359,0.6756,0.62521,0.32441,1.34482,4.71538,0.5913,0.0002773,0.0002773,0.0002773
75,904.372,1.59168,0.92611,0.82346,0.66743,0.64583,0.63672,0.33288,1.38262,4.38079,0.5941,0.0002674,0.0002674,0.0002674
76,916.219,1.60711,0.92489,0.83092,0.62697,0.72619,0.67621,0.36233,1.23252,4.72855,0.58374,0.0002575,0.0002575,0.0002575
77,928.162,1.63884,0.93392,0.83052,0.65472,0.6875,0.6655,0.34036,1.27361,5.5535,0.58538,0.0002476,0.0002476,0.0002476
78,939.842,1.6084,0.92471,0.82867,0.65223,0.66964,0.64981,0.33456,1.32367,4.84755,0.5903,0.0002377,0.0002377,0.0002377
79,951.558,1.57557,0.88727,0.8237,0.62999,0.70238,0.67168,0.34264,1.2861,4.60812,0.58871,0.0002278,0.0002278,0.0002278
80,963.286,1.59253,0.93764,0.8327,0.62987,0.71726,0.68243,0.35234,1.26384,4.37609,0.58673,0.0002179,0.0002179,0.0002179
81,975.104,1.58736,0.92436,0.83094,0.59626,0.71429,0.65477,0.34245,1.32781,4.16777,0.5877,0.000208,0.000208,0.000208
82,990.925,1.57144,0.86449,0.82667,0.63641,0.73452,0.66217,0.34221,1.29916,5.03484,0.58635,0.0001981,0.0001981,0.0001981
83,1004.53,1.5321,0.84178,0.82613,0.6527,0.71036,0.67775,0.354,1.26283,5.41933,0.585,0.0001882,0.0001882,0.0001882
84,1021.03,1.59053,0.89413,0.82686,0.6457,0.72619,0.67904,0.35952,1.27013,4.49472,0.5854,0.0001783,0.0001783,0.0001783
85,1037.43,1.58341,0.88238,0.82697,0.68882,0.64564,0.66183,0.34841,1.28341,4.8891,0.58559,0.0001684,0.0001684,0.0001684
86,1053.55,1.59995,0.85889,0.82261,0.63884,0.70017,0.6681,0.35775,1.2874,4.18557,0.58759,0.0001585,0.0001585,0.0001585
